n_ac_risk_impacts,project_name,n_risks,n_mitigations_per_risk,n_mitigations,n_ac_impacts_per_risk,project_id,n_activities,n_penalties,A-total-investment,B-total-investment,C-total-investment,D-total-investment,activities_impact_cost,algorithm,algorithm_gap,algorithm_lb,baseline_cost,best_sol_iter,best_sol_time,crashing_cost,execution_master,execution_separation,execution_time,gap,investment_level,investment_limit,mitigations_cost,n_crashing_activities,n_iterations,n_materialized_risks,n_mitigations,penalties_cost,project,topology,total_cost,total_investment,unc_budget,unc_budget_level,uncertainty_cost
36,SP-psplib_j1234_7.mm-psplib_j1262_1.mm-psplib_j1241_3.mm-psplib_j1239_8.mm,12,1.0,12,3.0,SP,48,4,102.0,57.0,37.0,80.0,180.0,Min-Max,-7.80458840194e-16,874.0,413.0,40,96.7119607925,141.0,93.6718287468,3.39536809921,97.1193828583,0.0,100%,746.0,135.0,16,41,10,6,5.0,SP-psplib_j1234_7.mm-psplib_j1262_1.mm-psplib_j1241_3.mm-psplib_j1239_8.mm,Diamond,874.0,276.0,587.4,60%,537.0
36,SP-psplib_j1211_9.mm-psplib_j1254_10.mm-psplib_j1262_1.mm-psplib_j1242_8.mm,12,1.0,12,3.0,SP,48,4,139.0,61.0,57.0,14.0,126.0,Min-Max,0.0,768.0,371.0,33,59.0672900677,98.0,78.1179821491,3.91736984253,86.5328540802,0.0,100%,622.0,173.0,11,39,7,10,0.0,SP-psplib_j1211_9.mm-psplib_j1254_10.mm-psplib_j1262_1.mm-psplib_j1242_8.mm,Diamond,768.0,271.0,643.2,60%,580.0
36,SP-psplib_j1224_3.mm-psplib_j1238_5.mm-psplib_j1223_7.mm-psplib_j122_8.mm,12,1.0,12,3.0,SP,48,4,84.0,0.0,64.0,90.0,205.0,Min-Max,0.0,845.0,402.0,41,66.628305912,112.0,122.173779488,5.72142291069,132.052366972,0.0,100%,618.0,126.0,12,56,8,7,0.0,SP-psplib_j1224_3.mm-psplib_j1238_5.mm-psplib_j1223_7.mm-psplib_j122_8.mm,Diamond,845.0,238.0,577.2,60%,564.0
36,SP-psplib_j1254_10.mm-psplib_j1258_3.mm-psplib_j1229_2.mm-psplib_j1258_5.mm,12,1.0,12,3.0,SP,48,4,91.0,71.0,57.0,117.0,223.0,Min-Max,0.0,1015.0,396.0,21,17.7199470997,120.0,32.2080774307,2.43942809105,36.2721741199,0.0,100%,868.0,216.0,14,31,8,9,60.0,SP-psplib_j1254_10.mm-psplib_j1258_3.mm-psplib_j1229_2.mm-psplib_j1258_5.mm,Diamond,1015.0,336.0,599.4,60%,539.0
36,SP-psplib_j1216_7.mm-psplib_j1229_2.mm-psplib_j1216_5.mm-psplib_j1264_6.mm,12,1.0,12,3.0,SP,48,4,46.0,5.0,13.0,30.0,275.0,Min-Max,0.0,843.0,401.0,56,98.7529509068,8.0,582.267439842,11.939704895,602.914494991,0.0,100%,701.0,86.0,1,127,8,6,73.0,SP-psplib_j1216_7.mm-psplib_j1229_2.mm-psplib_j1216_5.mm-psplib_j1264_6.mm,Diamond,843.0,94.0,612.0,60%,591.0
36,SP-psplib_j1230_9.mm-psplib_j1250_5.mm-psplib_j1243_9.mm-psplib_j1263_2.mm,12,1.0,12,3.0,SP,48,4,44.0,70.0,26.0,32.0,146.0,Min-Max,0.0,728.0,404.0,87,357.711915016,38.0,348.71420908,9.81007695198,358.589042902,0.0,100%,622.0,134.0,5,88,8,8,6.0,SP-psplib_j1230_9.mm-psplib_j1250_5.mm-psplib_j1243_9.mm-psplib_j1263_2.mm,Diamond,728.0,172.0,609.6,60%,581.0
36,SP-psplib_j1220_9.mm-psplib_j1247_7.mm-psplib_j1218_7.mm-psplib_j1235_9.mm,12,1.0,12,3.0,SP,48,4,120.0,81.0,67.0,88.0,125.0,Min-Max,0.0,890.0,409.0,13,9.22105312347,68.0,8.20433068275,1.13285684586,10.3889870644,0.0,100%,813.0,288.0,8,14,8,10,0,SP-psplib_j1220_9.mm-psplib_j1247_7.mm-psplib_j1218_7.mm-psplib_j1235_9.mm,Diamond,890.0,356.0,622.8,60%,582.0
36,SP-psplib_j1264_4.mm-psplib_j1229_1.mm-psplib_j1254_4.mm-psplib_j1245_10.mm,12,1.0,12,3.0,SP,48,4,80.0,0.0,58.0,0.0,189.0,Min-Max,0.0,712.0,385.0,71,196.25077796,37.0,596.037233353,9.17313838005,616.106877089,0.0,100%,618.0,101.0,4,117,9,4,0,SP-psplib_j1264_4.mm-psplib_j1229_1.mm-psplib_j1254_4.mm-psplib_j1245_10.mm,Diamond,712.0,138.0,614.4,60%,578.0
36,SP-psplib_j1241_1.mm-psplib_j1257_3.mm-psplib_j1253_2.mm-psplib_j1218_10.mm,12,1.0,12,3.0,SP,48,4,108.0,55.0,137.0,128.0,182.0,Min-Max,0.0,1037.0,391.0,65,179.886673927,153.0,174.358873606,6.16226553917,180.581321955,0.0,100%,735.0,275.0,19,66,8,10,36.0,SP-psplib_j1241_1.mm-psplib_j1257_3.mm-psplib_j1253_2.mm-psplib_j1218_10.mm,Diamond,1037.0,428.0,612.6,60%,573.0
36,SP-psplib_j1238_2.mm-psplib_j1237_1.mm-psplib_j1257_10.mm-psplib_j1254_10.mm,12,1.0,12,3.0,SP,48,4,107.0,55.0,88.0,61.0,158.0,Min-Max,0.0,880.0,383.0,46,108.350903034,103.0,101.522443056,7.28323125839,108.858613014,0.0,100%,635.0,208.0,12,47,8,9,28.0,SP-psplib_j1238_2.mm-psplib_j1237_1.mm-psplib_j1257_10.mm-psplib_j1254_10.mm,Diamond,880.0,311.0,611.4,60%,610.0
